Rank,Values,Ticker
Kassaflode_till_Skuld_trend_ratioRank,35.49432739059968,ATRLJ-B
ROE_latest_ratioRank,52.4869109947644,BALD-B
ROE_trend_ratioRank,24.770642201834864,BALD-B
ROIC_latest_ratioRank,43.151969981238274,BALD-B
ROIC_trend_ratioRank,30.393996247654787,BALD-B
Soliditet_latest_ratioRank,22.25130890052356,BALD-B
Soliditet_trend_ratioRank,50.19659239842726,BALD-B
Skuldsättningsgrad_latest_ratioRank,10.737179487179487,BALD-B
Skuldsättningsgrad_trend_ratioRank,34.99197431781702,BALD-B
Räntetäckningsgrad_latest_ratioRank,51.636904761904766,BALD-B
Räntetäckningsgrad_trend_ratioRank,35.17138599105812,BALD-B
Bruttomarginal_latest_ratioRank,76.6566265060241,BALD-B
Bruttomarginal_trend_ratioRank,41.32730015082956,BALD-B
Rörelsemarginal_latest_ratioRank,95.20348837209302,BALD-B
Rörelsemarginal_trend_ratioRank,51.382823871906844,BALD-B
Vinstmarginal_latest_ratioRank,88.76560332871013,BALD-B
Vinstmarginal_trend_ratioRank,9.305555555555555,BALD-B
PE_tal_latest_ratioRank,50.0,BALD-B
PE_tal_trend_ratioRank,50.0,BALD-B
PB_tal_latest_ratioRank,50.0,BALD-B
PB_tal_trend_ratioRank,50.0,BALD-B
EV_EBITDA_latest_ratioRank,50.0,BALD-B
EV_EBITDA_trend_ratioRank,50.0,BALD-B
Rörelseflödesmarginal_latest_ratioRank,92.44755244755245,BALD-B
Rörelseflödesmarginal_trend_ratioRank,74.50980392156863,BALD-B
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,BALD-B
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,BALD-B
Kassaflode_till_Skuld_latest_ratioRank,31.55339805825243,BALD-B
Kassaflode_till_Skuld_trend_ratioRank,43.76012965964344,BALD-B
ROE_latest_ratioRank,51.047120418848166,CAST
ROE_trend_ratioRank,36.17300131061599,CAST
ROIC_latest_ratioRank,41.088180112570356,CAST
ROIC_trend_ratioRank,36.39774859287054,CAST
Soliditet_latest_ratioRank,50.13089005235602,CAST
Soliditet_trend_ratioRank,72.870249017038,CAST
Skuldsättningsgrad_latest_ratioRank,29.807692307692307,CAST
Skuldsättningsgrad_trend_ratioRank,75.76243980738363,CAST
Räntetäckningsgrad_latest_ratioRank,55.35714285714286,CAST
Räntetäckningsgrad_trend_ratioRank,33.68107302533532,CAST
Bruttomarginal_latest_ratioRank,69.42771084337349,CAST
Bruttomarginal_trend_ratioRank,49.7737556561086,CAST
Rörelsemarginal_latest_ratioRank,95.05813953488372,CAST
Rörelsemarginal_trend_ratioRank,54.29403202328966,CAST
Vinstmarginal_latest_ratioRank,87.79472954230236,CAST
Vinstmarginal_trend_ratioRank,10.694444444444445,CAST
PE_tal_latest_ratioRank,50.0,CAST
PE_tal_trend_ratioRank,50.0,CAST
PB_tal_latest_ratioRank,50.0,CAST
PB_tal_trend_ratioRank,50.0,CAST
EV_EBITDA_latest_ratioRank,50.0,CAST
EV_EBITDA_trend_ratioRank,50.0,CAST
Rörelseflödesmarginal_latest_ratioRank,94.4055944055944,CAST
Rörelseflödesmarginal_trend_ratioRank,54.761904761904766,CAST
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,CAST
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,CAST
Kassaflode_till_Skuld_latest_ratioRank,38.349514563106794,CAST
Kassaflode_till_Skuld_trend_ratioRank,47.487844408427875,CAST
ROE_latest_ratioRank,54.31937172774869,CATE
ROE_trend_ratioRank,29.095674967234604,CATE
