Instrument,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,returnOnAssets,priceToBook,forwardPE,dividendYield,longName,sector,longBusinessSummary
SFL,,0.008,-0.0015,0.027320001,-0.03009,-0.02507,3.7513633,,,Safello Group AB (publ),Technology,"Safello Group AB (publ) provides a brokerage platform for individuals and businesses. The company operates its platform, which enables the buying and selling of cryptocurrencies, such as Bitcoin, Ethereum, and various digital assets; and the storing, swapping, transferring, and receiving of crypto assets. It offers its services through Safello Mobile and Safello Web App. Safello Group AB (publ) was incorporated in 2012 and is headquartered in Stockholm, Sweden."
YIELD,,-0.129,-0.12529,0.49242002,-0.16252,,1.2272727,-8.775,,SaveLend Group AB (publ),Financial Services,"SaveLend Group AB (publ), through its subsidiaries, operates as a fintech company in the fixed income investment segment in Sweden, Poland, and Finland. It operates in two segments, The Savings Platform and The Invoicing Platform. The company offers SaveLend, a savings platform for savers to get yield through saving in credits, such as SME, real estate, consumer credit, and factoring in both SEK and EUR; and Billecta, a billing platform which consists of a complete billing system containing accounts receivable, and notification and financing solutions. SaveLend Group AB (publ) was founded in 2014 and is based in Stockholm, Sweden."
VH,,-0.761,-0.078260005,1.0,-0.08206,-0.057010002,4.745695,,3.14,Västra Hamnen Corporate Finance AB (publ),Financial Services,"Västra Hamnen Corporate Finance AB (publ), an independent securities company, assists companies and their owners with advice in connection with corporate transactions in Sweden and Denmark. It also engages in raising capital on and off the stock exchange, that includes stock exchange transactions, raising private capital, and corporate transactions, as well as company transfers activities; listing and compliance monitoring, guidance, and advisory; and stock analysis of small and medium-sized listed companies. The company was incorporated in 2004 and is headquartered in Malmö, Sweden."
WRV,,,0.0,0.0,-0.82695997,-0.51194,0.44484276,,,,Financial Services,"Webrock Ventures AB is a venture capital firm specializing in seed, start-up, series A, incubation, and early venture investments. The firm seeks to invest in digital, internet, information technology and fintech companies. The firm is sector agnostic but only invest in business models that are possible through the use of technology. The firm prefers to invest in companies based in Scandinavia, Brazil, Europe and Latin America. The firm invests between R$1 million ($0.25 million) and R$ 4 million ($1 million) in companies. Webrock Ventures AB was founded in July 2015 and it is based in Brazil, with an additional office in Stockholm, Sweden."
2CUREX,,-0.631,0.0,0.0,-1.7478399,-0.97986,19.177214,,,2cureX AB (publ),Healthcare,"2cureX AB (publ) operates as a medtech company in Europe. The company's principal product is IndiTreat, an IVD test, which helps to predict cancer patient's response and resistance to different drugs and select the appropriate treatment. It is also conducting various clinical programs for IndiTreat for colorectal, ovarian, and pancreatic cancers. The company was incorporated in 2006 and is based in Copenhagen, Denmark."
ACOU,,-0.116,-1.5869299,0.99824,-1.2372,-0.4756,9.723927,-3.9625,,AcouSort AB (publ),Healthcare,"AcouSort AB (publ), a technology company, develops components and instruments used in the diagnostics, analytics, and cell therapy processing markets. It offers AcouTrap, a benchtop research instrument for sample preparation of cells, extracellular vesicles, bacteria, and viruses from various media; AcouPlasma, an module that enables in-line analysis of blood plasma from whole blood samples; AQC Module, an in-line optical analysis of particle suspensions for quality control or monitoring applications; and AcouWash, a benchtop research instrument for label-free separation of target cells from various samples. The company has collaboration agreement with global life science company to develop cell therapy. AcouSort AB and Bio-ReCell Ltd. announced that the two companies have signed a Letter of Intent to jointly develop a system for automated clean-up and isolation of stem cells and immune cells from adipose tissue. AcouSort AB (publ) was founded in 2010 and is based in Lund, Sweden."
AINO,,0.231,-0.29719,0.20467,,-0.40418997,-59.5,,,Aino Health AB (publ),Healthcare,"Aino Health AB (publ) provides software as a service platform in Finland. It offers HealthManager, a solution that provides surveys, analytics, exposure checks, and security and GDPR services; and Aino e-Learning platform that gives line managers an easily accessible leadership training. The company also provides telemedicine services; professional services, including analytics, management and employee support, and well-being services; and onboarding services, such as project management and planning, implementation, and training and communication services. It serves occupational health care providers, insurance companies, IT software and service companies, HR, payroll service centers, nurses, online therapists, etc. The company was incorporated in 2016 and is based in Stockholm, Sweden."
ALZ,,1.136,-1.06059,1.0,-0.18739,-0.108430006,1.4652568,-3.2333333,,Alzinova AB (publ),Healthcare,"Alzinova AB (publ), a clinical-stage biopharma company, develops immunotherapies treatment for Alzheimer's disease in Sweden. Its lead product candidate is the ALZ-101, a therapeutic vaccine for the treatment of Alzheimer's disease, which has completed phase 1b study. The company also develops ALZ-201, a monoclonal antibody that target and neutralize the neurotoxic forms of the peptide Aß42, called oligomers, which are considered to be the underlying cause of Alzheimer's disease; and a humanized version of ALZ-201 in patients with Alzheimer's disease that is in phase 1 clinical study. Alzinova AB (publ) was incorporated in 2011 and is based in Mölndal, Sweden."
ANNX,,,0.0,0.0,-1.85946,-0.9619,12.203653,,,Annexin Pharmaceuticals AB (publ),Healthcare,"Annexin Pharmaceuticals AB (publ), a biotechnology company, develops drug candidates for the treatment of various cardiovascular diseases. It develops ANXV, a human recombinant protein. The company offers Annexin A5 to protect and repair blood vessels and counteract inflammation. Annexin Pharmaceuticals AB (publ) was founded in 2014 and is based in Stockholm, Sweden."
ARCOMA,-0.426,-0.249,0.06631,0.41362,0.16864,0.07851,2.1911922,8.947369,,Arcoma AB,Healthcare,"Arcoma AB develops, produces, and provides radiology solutions and digital x-ray systems worldwide. The company manufactures x-ray equipment under the Canon and Konica Minolta brand name. It offers solutions for x-ray systems covering radiological applications, as well as for use in general, eneral, muscle/skeleton, thoratic, pediatric, and trauma/resus clinics. The company also provides x-ray detectors; and accessories for x-ray equipment comprising live camera, advanced remote control, form pad, hand control, compression belt, lateral cassette/detector holder, foot control, lateral armrest, patient handgrip, mattress, scatter correction software, battery charger, and battery pack, stitching screen. The company sells its products through OEM partners. Arcoma AB was incorporated in 1990 and is based in Växjö, Sweden."
BIOSGN,,,0.0,0.0,-0.53833,-0.30118,2.7783782,-25.7,,Biosergen AB (publ),Healthcare,"Biosergen AB (publ), a biotech company, develops antifungal products. Its lead product is BSG005, an antifungal drug candidate for the treatment of invasive fungal infections in immunocompromised patients, including AIDS, cancer, and transplant recipients. The company was founded in 2004 and is based in Solna, Sweden."
BRAIN,,0.21,-0.91725,0.2838,-0.34437,-0.17987,2.9151292,Infinity,,BrainCool AB (publ),Healthcare,"BrainCool AB (publ), a medical device company, together with its subsidiaries, engages in the development, marketing, and sale of medical cooling systems for the healthcare sector in Sweden. The company offers BrainCool system, a system to monitors and controls patient's temperature to anatomical zones for head/neck, thighs, and torso. It also offers RhinoChill system, a portable and battery-powered cooling  product to spray liquid coolant for patient's nostrils with a catheter, as well as provides Cooral system provides medical professionals an easy way to reduce the risk of oral mucositis; and IQool system, a single-use cooling system used as silicone cooling pads for patient's care. In addition, the company provides products for medical cooling treatments for diseases, including stroke, cardiac arrest, neurological fever, chemotherapy, and oral mucositis. BrainCool AB (publ) was incorporated in 2010 and is based in Lund, Sweden."
CRNO-B,,-0.24,-1.44095,1.0,-0.59292,-0.14965999,15.480608,-43.714287,,Cereno Scientific AB (publ),Healthcare,"Cereno Scientific AB (publ), a clinical stage biotechnology company, develops therapeutics to treat cardiovascular and pulmonary diseases in Sweden and internationally. The company's lead drug candidate is CS1, a product candidate that is in phase II clinical trial for the treatment of rare disease pulmonary arterial hypertension, as well as a histone deacetylase (HDAC) inhibitor that acts as an epigenetic modulator with pressure-reducing, reverse-remodeling, anti-inflammatory, anti-fibrotic, and anti-thrombotic properties. Its drugs portfolio includes CS014, an epigenetic modulator that is in phase I for the treatment of cardiovascular, pulmonary diseases, and idiopathic pulmonary fibrosis; and preclinical drug candidates comprises CS585, a selective prostacyclin (IP) receptor agonist for the treatment of rare thrombotic diseases, such as anti phospholipid syndrome. The company has a collaboration agreement with the University of Michigan for the preclinical development program of CS585 and CS014, are preclinical drug candidate for cardiovascular diseases; and Abbott for use of CardioMEMS HF System. Cereno Scientific AB (publ) was incorporated in 2012 and is headquartered in Gothenburg, Sweden."
CMH,,-0.048,0.0,0.72903997,-1.13053,-0.55816,0.90406156,,,Chordate Medical Holding AB (publ),Healthcare,"Chordate Medical Holding AB (publ), a medical technology company, engages in the development of products and solutions for neurostimulation treatment in Sweden. It offers Ozilia, a neuromodulation and medication-free treatment technology for chronic migraine and chronic rhinitis. The company was founded in 2005 and is based in Kista, Sweden."
CMH-PREF,,-0.048,0.0,0.72903997,-1.13053,-0.55816,0.4668736,,,,Healthcare,"Chordate Medical Holding AB (publ), a medical technology company, engages in the development of products and solutions for neurostimulation treatment in Sweden. It offers Ozilia, a neuromodulation and medication-free treatment technology for chronic migraine and chronic rhinitis. The company was founded in 2005 and is based in Kista, Sweden."
CLS-B,,0.432,-2.50514,0.69398004,-0.85149,-0.40943,1.3240358,-7.69,,Clinical Laserthermia Systems AB (publ),Healthcare,"Clinical Laserthermia Systems AB (publ) engages in the development of treatment tools for diseased tissue under the TRANBERG brand in Sweden. It offers TRANBERG, a thermal therapy system designed to deliver laser energy to heat the target tissue. The company also provides mobile laser unit, a controlling component with a wavelength of 1064 nanometers provides multiple options to control treatment. In addition, it offers various gauge laser applicators, as well as provides temperature and treatment monitoring devices. Clinical Laserthermia Systems AB (publ) was incorporated in 2006 and is headquartered in Lund, Sweden."
CLBIO,,-0.601,-1.7665199,0.74087995,-0.28032,-0.097799994,3.797838,14.606742,,Corline Biomedical AB,Healthcare,"Corline Biomedical AB develops, manufactures, and markets heparin based solutions to enhance kidney transplantation, cell therapies, and regenerative medicine applications. Its products are based on Corline Heparin Conjugate (CHC) technology, a heparin conjugate that is used as stand-alone pharmaceutical compound. The company's products include Renaparin for use in the treatment of end stage renal failure; Cytoparin, a cell therapy that is used for the treatment of patients with type 1 diabetes; and CHC, which is used for the treatment of soft tissue injuries. The company was incorporated in 1991 and is based in Uppsala, Sweden."
DMYD-B,,,0.0,0.0,-0.67160004,-0.36382,4.1084285,17.962961,,Diamyd Medical AB (publ),Healthcare,"Diamyd Medical AB (publ) develops precision medicine therapies for the treatment of autoimmune diabetes. The company develops Diamyd, an antigen-specific immunotherapy, which is in phase III clinical trial for the treatment of type 1 diabetes and latent autoimmune diabetes in adults (LADA); and Remygen, an immunomodulation therapy, that is in phase I/II clinical trial for the treatment of with type 1 diabetes, type 2 diabetes, and LADA. It has a research and development collaboration agreement with Juvenile Diabetes Research Foundation to develop DIAGNODE-3 Phase 3 trial in type 1 diabetes. The company was formerly known as Diamyd Therapeutics AB and changed its name to Diamyd Medical AB (publ) in April 2013. Diamyd Medical AB (publ) was founded in 1984 and is headquartered in Stockholm, Sweden."
DICOT,,,0.0,0.0,-1.12454,-0.61289,13.58,,,Dicot Pharma AB,Healthcare,"Dicot Pharma AB engages in the development of pharmaceutical products in Sweden. It is developing LIB-01 for the treatment of erectile dysfunction and premature ejaculation. The company was formerly known as Dicot AB (publ) and changed its name to Dicot Pharma AB in May 2024. Dicot Pharma AB was incorporated in 2015 and is based in Uppsala, Sweden."
ELIC,,-0.928,0.0,1.0,-0.58267,-0.27793,8.340741,56.3,,Elicera Therapeutics AB (publ),Healthcare,"Elicera Therapeutics AB (publ), a clinical stage immuno-oncology company, develops cell and gene therapies for immune-based cancer treatments in Sweden. The company's portfolio products in pipeline includes ELC-100 that is in Phase I/IIa clinical trial for neuroendocrine tumors; and ELC-201, which is in preclinical stage for the treatment of various forms of solid cancer. It is also developing ELC-301, a CAR T-cell therapy that is in Phase I/IIa clinical trial for the treatment of Non-Hodgkin's B-cell lymphoma; and ELC-401, a CAR T-cell therapy, which is in preclinical stage for the treatment of brain tumors. Elicera Therapeutics AB (publ) has collaboration with the Vecura R&D division at Karolinska University Hospital and Uppsala University to develop a fully automated production flow of ELC-401 for use in future clinical trials. The company was incorporated in 2014 and is based in Gothenburg, Sweden."
ELN,,-0.027,-0.047849998,0.54366,-0.2408,-0.08127,2.2439024,,,Ellen AB (publ),Consumer Defensive,"Ellen AB (publ) provides pH-balanced intimate health products for women. It offers ellen Probiotic Tampon; ellen pH-Control, a medical device, which is used to measure the vaginal pH at home; ellen Aqua Block Tampon, which is designed to prevent water from entering the vagina during bathing and swimming; and ellen Probiotic cream, a moisturizing and pH-balancing intimate cream that prevents irritation. The company also provides ellen Probiotic Cleansing Foam to clean intimate areas, as well as used as a shaving foam; ellen Prebiotic Deo Spray, an intimate deodorant; and ellen Prebiotic After Shave & Wax Gel that soothes the sensitive intimate area after shaving and waxing. It sells and markets its products through various distributors. Ellen AB (publ) was incorporated in 1991 and is based in Stockholm, Sweden."
ERMA,,,0.0,-0.15499,-4.0283403,-0.93428004,16.038961,,,Enorama Pharma AB (publ),Healthcare,"Enorama Pharma AB (publ), a pharmaceutical company, develops, manufactures, and sells medicated chewing gum containing proven generic substances in Sweden. It offers nicotine chewing gum for smoking cessation and medical cannabis chewing gums for non-pharma applications, as well as for other applications, such as oromucosal drug delivery and allergic rhinitis. The company was incorporated in 2006 and is based in Malmö, Sweden."
ENZY,,0.303,-1.08028,0.67587996,-0.4326,-0.20296,3.8927097,-9.433332,,Enzymatica AB (publ),Healthcare,"Enzymatica AB (publ), a life science company, develops and sells products that treat and alleviate infections and symptoms in the upper respiratory tract. The company's product includes ColdZyme, a mouth spray to treat and alleviate cold and flu symptoms. It also provides enzyme formulations for skin care. The company offers its products through contract organizations and partner agreements with distributors who sell the products under the ViruProtect, STADAProtect, and Bisolviral brand names. Enzymatica AB (publ) was incorporated in 2007 and is headquartered in Lund, Sweden."
EXPRS2,,0.898,0.0,0.43343,-0.66926,-0.49613,1.296306,-1.1143368,,ExpreS2ion Biotech Holding AB (publ),Healthcare,"ExpreS2ion Biotech Holding AB (publ), a biotechnology company, develops vaccines and biologics products to address critical unmet medical needs in the Nordics and internationally. The company's lead asset is ES2B-C001, a therapeutic vaccine which is in Phase 1 clinical trials for breast cancer that targets the human epidermal growth factor receptor 2. It is also developing ES2B-I002, a cytomegalovirus vaccine program to treat infectious diseases, as well as vaccines for Nipah virus, Malaria, and influenza. In addition, the company offers a human clinical Phase III-validated technology platform for the development and production of the active material in vaccines under the GlycoX-S2. Further, it out licenses its ExpreS2 platform to research institutes and pharmaceutical companies; and sells ExpreS2 test kits and reagents for research purposes or diagnostic applications. The company has collaboration agreement with University of Oxford for the development of vaccine for malaria. ExpreS2ion Biotech Holding AB (publ) was incorporated in 2015 is based in Helsingborg, Sweden."
FLUI,,7.288,-1.3467,0.75575995,-0.61084,-0.29331,0.69686407,,,Fluicell AB (publ),Healthcare,"Fluicell AB (publ) operates as a life science company, provides platforms and research solutions for bioprinting and single-cell biology. The company offers BIOPEN, a microfluidic platform for high-precision single-cell solution delivery that enables to control the cell microenvironment without moving or disturbing the cells; Biozone 6 that generate dose-response curves or study the effects of multiple drug compounds; and Dynaflow Resolve system, an ion channel screening platform, which allows to record various ion channel current in patch-clamp recording configuration. It also provides Biopixlar, a 3D single-cell bioprinting platform that enables high cell viability and cell-to-cell communication; and Biopixlar AER, an easy-to-use 3D bioprinting platform that fits into your fume hood or biosafety cabinet. The company also offers accessory and consumable products for bioprinting and single-cell biology. The company was incorporated in 2012 and is based in Mölndal, Sweden."
FLUO,,0.385,0.0,1.0,-2.96057,-0.80693,38.095238,-6.5700483,,FluoGuide A/S,Healthcare,"FluoGuide A/S, a clinical stage biotechnology company, focuses on developing drugs for surgical outcomes by making cancer fluorescent in Denmark. Its lead product candidate is FG001, which is in Phase IIa and IIb for the treatment of high-grade glioma; Phase II clinical trial for the treatment of lung cancer, and head and neck cancer. FluoGuide A/S was incorporated in 2018 and is headquartered in Copenhagen, Denmark."
GABA,,,0.0,0.0,,-0.61494,22.6,,,Gabather AB (publ),Healthcare,"Gabather AB (publ), a pharmaceutical company, researches and develops drug candidates for the treatment of central nervous system diseases. It offers drugs primarily in the areas of anti-psychotics; anti-depressants and anxiolytics; analgesics; and cognition-enhancing treatments, including Alzheimer's disease. The company develops GT-002 for the treatment of schizophrenia, major depressive disorder, orphan drug, and alzheimer´s disease. It has a collaborative agreement with the Centre for Neuropsychiatric Schizophrenia Research at the Psychiatric Centre in Glostrup to conduct a so-called clinical phase II study with GT-002 in patients diagnosed with schizophrenia. Gabather AB (publ) was incorporated in 2014 and is based in Södertälje Sweden."
GENO,-0.729,-0.186,0.19076,0.87087995,0.10795999,0.04731,7.8384466,59.25532,,Genovis AB (publ.),Healthcare,"Genovis AB (publ.) develops and sells tools for the development of new treatment methods and diagnostics in North America, Europe, and Asia. The company provides FabRICATOR, FabALACTICA, FabRICATOR Z, GingisKHAN, FabULOUS (SpeB), a cysteine protease; FabDELLO, a protease that digests human IgG1; IgASAP, an IgA-digesting enzyme; and IgMBRAZOR, an IgM-specific protease. It also offers GlySERIAS, an enzyme that digests flexible glycine-rich fusion protein linkers; GlyCLICK, a conjugation technology; TransGLYCIT, a platform technology; and GingisREX, a protease that digests proteins C-terminally of arginine residues. In addition, the company offers OmniGLYZOR, a mixture of immobilized enzymes; PNGase F, a glycoamidase; OpeRATOR, an O-glycan-specific protease; ImpaRATOR, an O-glycan-dependent protease; OglyZOR, an endoglycosidase; SialEXO, a sialidase product; FucosEXO, a mix of a-Fucosidases; GalactEXO, a ß-Galactosidase mix; GalNAcEXO, an a-N-Acetylgalactosaminidase; and GlycOCATCH, an affinity resin. Further, it provides GlycINATOR (EndoS2), an IgG-specific endoglycosidase; IgGZERO (EndoS), an IgG-specific endoglycosidase; Anti-FabRICATOR (Anti-IdeS), a family of antibody products; and Anti-FabRICATOR Z (Anti-IdeZ), a goat polyclonal antibody, as well as SEQURNA RNase Inhibitor Thermostable. Additionally, the company offers antibodies, proteins, antigens, kits, and cell culture products; bioprocess and gene therapy services; and services, such as SmartEnzymes fragmentation and conjugation, antibody LC-MS analysis, and customized antibody services. It serves biotech and pharmaceutical, contract research, and contract manufacturing companies. The company was founded in 1999 and is headquartered in Kävlinge, Sweden."
GUARD,,,0.0,0.0,-2.0992799,-1.0483899,4.336625,-2.5062034,,Guard Therapeutics International AB (publ),Healthcare,"Guard Therapeutics International AB (publ), a pharmaceutical company, identifies, develops, and commercializes therapies for the diagnosis and treatment of acute kidney injuries in Sweden. It offers ROSGard, a biological drug candidate that prevents kidney damage by protecting, cleaning, and repairing the exposed cells and tissues. The company was formerly known as A1M Pharma AB (publ) and changed its name to Guard Therapeutics International AB (publ) in October 2019. Guard Therapeutics International AB (publ) was incorporated in 2008 and is based in Stockholm, Sweden."
ICO,,-0.216,-1.88847,0.77575,-0.33835,-0.18511999,0.8260373,-1.9727273,,Iconovo AB (publ),Healthcare,"Iconovo AB (publ) develops and licenses inhalation medications in Sweden. The company offers ICOres, a flexible multi-dose dry powder inhaler; ICOcap, a capsule based dry powder inhaler; ICOone, a single-dose disposable dry powder inhaler; and ICOpre, a pre-metered dry powder inhaler; and ICOone Nasal single-dose dry powder inhaler for nasal use. It serves generic companies. The company has collaboration agreement with Affilogic, ENA Respiratory Pty Ltd, Lonza, and Stevanato Group, as well as licensing agreements with Kiox Pharma and Monash University. Iconovo AB (publ) was founded in 2013 and is headquartered in Lund, Sweden."
IDLDX,,0.196,-0.73859,0.20128,-0.33793,-0.19863,1.0824525,,,IDL Diagnostics AB (publ),Healthcare,"IDL Diagnostics AB (publ), a vitro diagnostics company, manufactures and sells IVD tests for oncological and bacterial diseases in Sweden. It offers UBC Rapid, a point-of-care test for diagnosis and monitoring of bladder cancer; AroCell TK 210 ELISA, a biomarker for tumor cells; and TUBEX TF, a vitro diagnostic test for detection of acute typhoid fever. The company was formerly known as AroCell AB (publ) and changed its name to IDL Diagnostics AB (publ) in May 2025. IDL Diagnostics AB (publ) was incorporated in 2000 and is based in Stockholm, Sweden."
INIT,,,0.0,0.0,-0.63978,-0.45185003,15.231481,-5.0615387,,Initiator Pharma A/S,Healthcare,"Initiator Pharma A/S, a clinical stage life science company, develops drugs targeting unmet medical needs within the central and peripheral nervous system. Its product pipeline includes Pudafensine, a monoamine reuptake inhibitor primarily targeting the dopamine system for both treatment resistant organic erectile dysfunction and neuropathic pain in Phase 2b clinical trials; IP2018, a monoamine reuptake inhibitor completed Phase 2a for the treatment of psychogenic erectile dysfunction; and IP2016, which is in preclinical development for the treatment of depression and pain. Initiator Pharma A/S was incorporated in 2016 and is headquartered in Copenhagen, Denmark."
INTEG-B,,0.008,-0.31636,0.77298,-0.19243,-0.14389,2.37467,26.225164,,Integrum AB (publ),Healthcare,"Integrum AB (publ) researches, develops, and sells various systems for bone-anchored prostheses. The company provides Osseointegrated Prostheses for the Rehabilitation of Amputees (OPRA) implant systems, a bone-anchored prostheses system based on osseointegration, where the prostheses are directly attached to the bone, avoiding the use of socket. The OPRA implant system offers protection to the patient by avoiding bone fractures from accidental loads. The company also provides Neuromotus, a technology that is used for therapy to reduce phantom limb pain after an amputation. It sells its implant systems to hospitals, clinics, and orthopedists worldwide. The company was incorporated in 1990 and is headquartered in Mölndal, Sweden."
IVACC,,0.911,0.0,-0.11062,-0.25323,-0.1512,0.98706466,-1.2097561,,Intervacc AB (publ),Healthcare,"Intervacc AB (publ) develops novel veterinary vaccines for animals in Sweden. The company's product pipeline includes Stangvac, a vaccine against equine strangles for horses; INV274, antigens for a vaccine against streptococcus suis for the treatment of weaned piglets; and INV412, a multi-component vaccine to protect against several bacteria which cause mastitis for treating cows. It also engages in marketing and distribution of veterinary products in the Nordic markets, which includes vaccines and pharmaceuticals for swine, horses, cattle, and sheep. The company was incorporated in 1983 and is based in Hägersten, Sweden."
IZAFE-B,,-0.613,0.0,-0.118389994,-1.15413,-0.40993,7.5000005,,,iZafe Group AB (publ),Healthcare,"iZafe Group AB (publ), a medical technology company, engages in the research, development, and marketing of digital medical solutions and services for safer drug management at home. The company provides Dosell, an automated medication dispenser that handles medication pouches, smart pillboxes, facilitates and enables independent medication, and reminds and alerts in the scheduled doses. It also offers Pilloxa, a platform that provides real-time insights and improved data quality to empower and motivate patients. The company was formerly known as MediRätt AB (publ) and changed its name to iZafe Group AB (publ) in May 2019. iZafe Group AB (publ) was incorporated in 2008 and is headquartered in Stockholm, Sweden."
KLAR,,72.049,0.0,1.0,-2.42347,-0.20887,48.166668,Infinity,,Klaria Pharma Holding AB (publ.),Healthcare,"Klaria Pharma Holding AB (publ.), a pharmaceutical company develops and commercializes medication for migraine and cancer related pain, as well as opioid overdose and anaphylactic shock. Its product pipeline includes Sumatriptan, a novel the treatment of migraine which is in final stage of approval; Epinephrine/Adrenaline which is in Phase I clinical trial for the treatment of acute allergic reaction; and Sirolimus which is in pre-clinical stage for prevention of organ transplant rejection. Further, the company engages in the commercialization of cannabis/cannabinoids. Klaria Pharma Holding AB (publ.) was incorporated in 2014 and is headquartered in Uppsala, Sweden."
KONT,,-0.118,0.00298,1.0,0.00283,0.00125,1.4276003,20.999998,,Kontigo Care AB (publ),Healthcare,"Kontigo Care AB (publ) provides health care solutions for addiction treatment in Sweden. It offers Previct Alcohol, a digital medical device for the treatment of alcohol addiction; Previct Gamble, a digital tool for the treatment of gambling addiction; Previct Drugs, a digital platform to stop drug addiction; Previct Mind, a modern tool used as support in the treatment of mental illness; Previct Family, a tool for the whole family when the whole family is in contact with a therapist for family's well-being; Previct Work, a digital supports that are used in addiction care at the workplace. The company was incorporated in 2013 and is based in Uppsala, Sweden."
LIDDS,,,0.0,0.0,-1.0791,-0.46660998,3.6583335,-0.1756,,LIDDS AB (publ),Healthcare,"LIDDS AB (publ), a drug delivery company, develops pharmaceutical products based on its NanoZolid proprietary technology for the treatment of cancer and other diseases in Sweden. Its product pipeline comprises Nanoimod, a NanoZolid-formulated agatolimod, as well as a toll-like receptor 9 (TLR9) agonist, which is in preclinical trial; Nanodotax, a NanoZolid-formulated docetaxel, which is a chemotherapy medication that is approved for various oncological condition, such as breast cancer, head and neck cancer, and prostate cancer; and NOV202, which is in clinical Phase Ib/IIa study to treat refractory cancer. The company also develops Liproca Depot, a NanoZolid-formulated 2-hydroxyltutamide (2-HOF), which is an anti-androgen drug for treating prostate cancer patients before radical treatments. It also has a research and development agreement with Johnson & Johnson Enterprise Innovation Inc. to develop oncology products based on the NanoZolid technology for a non-disclosed indication. The company was incorporated in 1999 and is based in Stockholm, Sweden."
LPGO,,,-2.62481,-1.82582,-1.06611,-0.56918997,0.7639594,,,Lipigon Pharmaceuticals AB (publ),Healthcare,"Lipigon Pharmaceuticals AB (publ) develops drugs for lipid related diseases in Sweden. The company's product pipeline consists of Lipisense project for the treatment of severe hypertriglyceridemia disease; a gene therapy project for the treatment of the rare disease lipodystrophy; and RNA drug project for acute respiratory distress syndrome. Lipigon Pharmaceuticals AB (publ) has a collaboration agreement with HitGen Inc. for the development of small molecules for the treatment of dyslipidemia. The company was incorporated in 2010 and is based in Umeå, Sweden."
LIPUM,,,0.0,0.0,,-2.24738,102.48227,,,Lipum AB (publ),Healthcare,"Lipum AB (publ), a biopharmaceutical company, engages in the discovery and development of treatment for chronic inflammatory diseases in Sweden. It is developing SOL-116, a humanized antibody that is in late preclinical phase for the treatment of juvenile idiopathic arthritis and rheumatoid arthritis diseases. Lipum AB (publ) has a collaboration with Pelago Bioscience AB to focus on drug target monitoring during clinical studies of the lead candidate SOL-116; and a collaboration with the Karolinska Institute to explore the role of bile salt-stimulated lipase in the immune system in general and in rheumatoid arthritis in particular. The company was incorporated in 2010 and is based in Umeå, Sweden."
LARK,,-0.778,0.0,0.0,-0.47733003,-0.24122,0.66390043,,8.06,Lärkberget AB (publ),Healthcare,"CombiGene AB (publ) engages in the development of gene therapy for severe life-altering diseases in Sweden. The company is developing two candidates for severe chronic pain conditions, which are in preclinical studies include COZY01, a peptide treatment; and COZY02, a gene therapy treatment. It is also developing CG01, an adeno-associated virus-based gene therapy targeting epileptic seizures. The company has a collaboration agreement with Danish company Zyneyro to develop a treatment for chronic pain conditions. CombiGene AB (publ) was incorporated in 1990 and is based in Lidingö, Sweden."
MAGLE,,1.148,0.02735,0.91306996,0.0219,0.013459999,0.96229154,10.749999,,Magle Chemoswed Holding AB (publ),Healthcare,"Magle Chemoswed Holding AB (publ), together with its subsidiaries, operates as a contract development and manufacturing organization that serves pharmaceutical and medical device industry on a contract basis in Sweden. It provides warfarin sodium products used as anticoagulants for multiple indications; melperone hydrochloride, which is an antipsychotic agent; isradipine, a calcium channel blocker used to treat hypertension; amantadine sulfate that is used in the treatment of central nervous system disorders; and benserazide hydrochloride, which is used in combination with L-Dopa in the treatment of Parkinson's disease. The company also offers EmboCept S, a microsphere-based medical device used in vascular occlusion of liver and lung tumors; SmartGel, a non-allergenic hydrogel based on the company's microsphere technology; and SmartPAN, a medical device for the detection of pancreatic fluid leakage during open or minimally invasive surgical procedures. In addition, it is developing EmboCept M for the treatment of benign prostatic hyperplasia; EmboCept L for the treatment of uterine fibroids; SmartGel II, an advanced wound care hydrogel for the removal and prevention of wound biofilm; and SmartBone, an advanced formulation of microspheres in combination with active ingredients for stimulation of bone growth in surgical implant procedures. The company was founded in 1944 and is based in Malmö, Sweden. Magle Chemoswed Holding AB (publ) is a subsidiary of Magle AB."
MAGNA,,,0.0,0.0,,-0.40081,-0.009516129,,,Magnasense AB,Healthcare,"Magnasense AB develops and commercializes diagnostic tests for monitoring and optimizing the dosage of biological drugs. The company develops a testing platform for oral health, therapeutic drug monitoring, and infectious diseases. It develops Veritope technology used to optimize the dosage of biological drugs to patients; and the MagniaReader platform. The company was formerly known as AegirBio AB (publ) and changed its name to Magnasense AB in July 2024. Magnasense AB was incorporated in 2019 and is based in Lund, Sweden."
MEDHLP,,0.051,0.04526,0.49312,0.14579001,0.06372,4.930693,15.5625,,Medhelp Care Aktiebolag (publ),Healthcare,"Medhelp Care Aktiebolag (publ), a software-as-a-service company, operates a health platform for data-driven corporate health and supports in Sweden and Denmark. The company offers absence management, sickness absence statistics, health care advice, and rehabilitation support. Medhelp Care Aktiebolag (publ) was incorporated in 1999 and is based in Stockholm, Sweden."
